round,dataset,client_id,bbox_pred_class_global,bbox_pred_class_local,silhouette_global,silhouette_local,acc_superTree_localTest,prec_superTree_localTest,rec_superTree_localTest,f1_superTree_localTest,acc_superTree_globalTest,prec_superTree_globalTest,rec_superTree_globalTest,f1_superTree_globalTest,acc_localTree_localTest,prec_localTree_localTest,rec_localTree_localTest,f1_localTree_localTest,acc_localTree_globalTest,prec_localTree_globalTest,rec_localTree_globalTest,f1_localTree_globalTest,jaccard_cov_globalZ,covL_globalZ,covG_globalZ,covInter_globalZ,covUnion_globalZ,jaccard_cov_localZ,covL_localZ,covG_localZ,covInter_localZ,covUnion_localZ
3,pablopalacios23/Diabetes,4,Yes,Yes,0.6376689110802877,0.7680368390068342,0.625,0.5973587223587223,0.625,0.6013655462184874,0.7272727272727273,0.7177033492822966,0.7272727272727273,0.7136583223539745,0.3541666666666667,0.1254340277777778,0.3541666666666667,0.18525641025641026,0.4025974025974026,0.779042874933286,0.4025974025974026,0.2855507455507456,1.0,0.39166666666666666,0.39166666666666666,0.39166666666666666,0.39166666666666666,1.0,0.4,0.4,0.4,0.4
3,pablopalacios23/Diabetes,4,Yes,Yes,0.867365747974757,0.37105504829236136,0.625,0.5973587223587223,0.625,0.6013655462184874,0.7272727272727273,0.7177033492822966,0.7272727272727273,0.7136583223539745,0.3541666666666667,0.1254340277777778,0.3541666666666667,0.18525641025641026,0.4025974025974026,0.779042874933286,0.4025974025974026,0.2855507455507456,0.5970149253731343,0.525,0.36666666666666664,0.3333333333333333,0.5583333333333333,0.8771929824561403,0.4666666666666667,0.425,0.4166666666666667,0.475
3,pablopalacios23/Diabetes,4,Yes,Yes,0.7620518425683479,0.5483519643696773,0.625,0.5973587223587223,0.625,0.6013655462184874,0.7272727272727273,0.7177033492822966,0.7272727272727273,0.7136583223539745,0.3541666666666667,0.1254340277777778,0.3541666666666667,0.18525641025641026,0.4025974025974026,0.779042874933286,0.4025974025974026,0.2855507455507456,0.4787234042553192,0.7583333333333333,0.4,0.375,0.7833333333333333,0.7121212121212122,0.43333333333333335,0.5083333333333333,0.39166666666666666,0.55
3,pablopalacios23/Diabetes,4,Yes,Yes,0.8563847262053322,0.728583814787074,0.625,0.5973587223587223,0.625,0.6013655462184874,0.7272727272727273,0.7177033492822966,0.7272727272727273,0.7136583223539745,0.3541666666666667,0.1254340277777778,0.3541666666666667,0.18525641025641026,0.4025974025974026,0.779042874933286,0.4025974025974026,0.2855507455507456,0.8541666666666666,0.36666666666666664,0.375,0.3416666666666667,0.4,0.5633802816901409,0.36666666666666664,0.5583333333333333,0.3333333333333333,0.5916666666666667
3,pablopalacios23/Diabetes,4,Yes,Yes,0.806973484193162,0.5574340831729099,0.625,0.5973587223587223,0.625,0.6013655462184874,0.7272727272727273,0.7177033492822966,0.7272727272727273,0.7136583223539745,0.3541666666666667,0.1254340277777778,0.3541666666666667,0.18525641025641026,0.4025974025974026,0.779042874933286,0.4025974025974026,0.2855507455507456,0.6875,0.5,0.4,0.36666666666666664,0.5333333333333333,0.7454545454545455,0.43333333333333335,0.36666666666666664,0.3416666666666667,0.4583333333333333
3,pablopalacios23/Diabetes,4,Yes,Yes,0.3591372624145841,0.63885425986145,0.625,0.5973587223587223,0.625,0.6013655462184874,0.7272727272727273,0.7177033492822966,0.7272727272727273,0.7136583223539745,0.3541666666666667,0.1254340277777778,0.3541666666666667,0.18525641025641026,0.4025974025974026,0.779042874933286,0.4025974025974026,0.2855507455507456,0.734375,0.5166666666666667,0.4083333333333333,0.39166666666666666,0.5333333333333333,0.7678571428571429,0.44166666666666665,0.38333333333333336,0.35833333333333334,0.4666666666666667
3,pablopalacios23/Diabetes,4,Yes,Yes,0.6613932732265125,-0.19475999776306419,0.625,0.5973587223587223,0.625,0.6013655462184874,0.7272727272727273,0.7177033492822966,0.7272727272727273,0.7136583223539745,0.3541666666666667,0.1254340277777778,0.3541666666666667,0.18525641025641026,0.4025974025974026,0.779042874933286,0.4025974025974026,0.2855507455507456,0.6666666666666666,0.4583333333333333,0.3333333333333333,0.31666666666666665,0.475,0.3673469387755102,0.44166666666666665,0.675,0.3,0.8166666666666667
3,pablopalacios23/Diabetes,4,Yes,Yes,0.7188062946214006,0.5141940440896559,0.625,0.5973587223587223,0.625,0.6013655462184874,0.7272727272727273,0.7177033492822966,0.7272727272727273,0.7136583223539745,0.3541666666666667,0.1254340277777778,0.3541666666666667,0.18525641025641026,0.4025974025974026,0.779042874933286,0.4025974025974026,0.2855507455507456,0.8,0.39166666666666666,0.35833333333333334,0.3333333333333333,0.4166666666666667,0.7,0.36666666666666664,0.3416666666666667,0.2916666666666667,0.4166666666666667
3,pablopalacios23/Diabetes,4,Yes,Yes,0.9216127282781219,0.8702196485173384,0.625,0.5973587223587223,0.625,0.6013655462184874,0.7272727272727273,0.7177033492822966,0.7272727272727273,0.7136583223539745,0.3541666666666667,0.1254340277777778,0.3541666666666667,0.18525641025641026,0.4025974025974026,0.779042874933286,0.4025974025974026,0.2855507455507456,0.6779661016949152,0.44166666666666665,0.38333333333333336,0.3333333333333333,0.49166666666666664,0.9285714285714286,0.4666666666666667,0.43333333333333335,0.43333333333333335,0.4666666666666667
3,pablopalacios23/Diabetes,4,Yes,Yes,0.7898325345451287,0.5479761995526448,0.625,0.5973587223587223,0.625,0.6013655462184874,0.7272727272727273,0.7177033492822966,0.7272727272727273,0.7136583223539745,0.3541666666666667,0.1254340277777778,0.3541666666666667,0.18525641025641026,0.4025974025974026,0.779042874933286,0.4025974025974026,0.2855507455507456,0.8392857142857143,0.4583333333333333,0.4,0.39166666666666666,0.4666666666666667,0.7833333333333333,0.4666666666666667,0.425,0.39166666666666666,0.5
3,pablopalacios23/Diabetes,4,Yes,Yes,0.6140084927735683,0.6849257259719047,0.625,0.5973587223587223,0.625,0.6013655462184874,0.7272727272727273,0.7177033492822966,0.7272727272727273,0.7136583223539745,0.3541666666666667,0.1254340277777778,0.3541666666666667,0.18525641025641026,0.4025974025974026,0.779042874933286,0.4025974025974026,0.2855507455507456,0.9574468085106383,0.38333333333333336,0.38333333333333336,0.375,0.39166666666666666,0.9347826086956522,0.38333333333333336,0.35833333333333334,0.35833333333333334,0.38333333333333336
3,pablopalacios23/Diabetes,4,Yes,Yes,0.764020154764386,0.650391302503829,0.625,0.5973587223587223,0.625,0.6013655462184874,0.7272727272727273,0.7177033492822966,0.7272727272727273,0.7136583223539745,0.3541666666666667,0.1254340277777778,0.3541666666666667,0.18525641025641026,0.4025974025974026,0.779042874933286,0.4025974025974026,0.2855507455507456,0.4631578947368421,0.7916666666666666,0.36666666666666664,0.36666666666666664,0.7916666666666666,0.8421052631578947,0.475,0.4,0.4,0.475
3,pablopalacios23/Diabetes,4,Yes,Yes,0.4534596366862087,0.35685338333682537,0.625,0.5973587223587223,0.625,0.6013655462184874,0.7272727272727273,0.7177033492822966,0.7272727272727273,0.7136583223539745,0.3541666666666667,0.1254340277777778,0.3541666666666667,0.18525641025641026,0.4025974025974026,0.779042874933286,0.4025974025974026,0.2855507455507456,0.8035714285714286,0.4583333333333333,0.38333333333333336,0.375,0.4666666666666667,0.4574468085106383,0.4166666666666667,0.725,0.35833333333333334,0.7833333333333333
