round,dataset,client_id,bbox_pred_class_global,bbox_pred_class_local,silhouette_global,silhouette_local,acc_superTree_localTest,prec_superTree_localTest,rec_superTree_localTest,f1_superTree_localTest,acc_superTree_globalTest,prec_superTree_globalTest,rec_superTree_globalTest,f1_superTree_globalTest,acc_localTree_localTest,prec_localTree_localTest,rec_localTree_localTest,f1_localTree_localTest,acc_localTree_globalTest,prec_localTree_globalTest,rec_localTree_globalTest,f1_localTree_globalTest,acc_gb_localTest,fidelity_localtree_gb_localTest,acc_gb_globalTest,fidelity_localtree_gb_globalTest,fidelity_supertree_gb_globalTest,jaccard_cov_globalZ,covL_globalZ,covG_globalZ,covInter_globalZ,covUnion_globalZ,jaccard_cov_localZ,covL_localZ,covG_localZ,covInter_localZ,covUnion_localZ
3,pablopalacios23/Diabetes,3,Yes,Yes,-0.6889879252842417,0.3763233989927713,0.7727272727272727,0.7641711229946523,0.7727272727272727,0.7608901515151516,0.7597402597402597,0.7542891890717976,0.7597402597402597,0.7487456279654329,0.7272727272727273,0.7122994652406416,0.7272727272727273,0.7130681818181818,0.7467532467532467,0.750315338486798,0.7467532467532467,0.7482472254045858,0.6818181818181818,0.8636363636363636,0.8051948051948052,0.8636363636363636,0.8636363636363636,0.48623853211009177,0.9369369369369369,0.5225225225225225,0.4774774774774775,0.9819819819819819,0.425,0.425,1.0,0.425,1.0
3,pablopalacios23/Diabetes,3,Yes,No,-0.17446113091056886,0.7480771783170789,0.7727272727272727,0.7641711229946523,0.7727272727272727,0.7608901515151516,0.7597402597402597,0.7542891890717976,0.7597402597402597,0.7487456279654329,0.7272727272727273,0.7122994652406416,0.7272727272727273,0.7130681818181818,0.7467532467532467,0.750315338486798,0.7467532467532467,0.7482472254045858,0.6818181818181818,0.8636363636363636,0.8051948051948052,0.8636363636363636,0.8636363636363636,0.49523809523809526,0.8545454545454545,0.5727272727272728,0.4727272727272727,0.9545454545454546,0.48623853211009177,0.45,0.9,0.44166666666666665,0.9083333333333333
3,pablopalacios23/Diabetes,3,Yes,No,-1.0,0.06403872754233442,0.7727272727272727,0.7641711229946523,0.7727272727272727,0.7608901515151516,0.7597402597402597,0.7542891890717976,0.7597402597402597,0.7487456279654329,0.7272727272727273,0.7122994652406416,0.7272727272727273,0.7130681818181818,0.7467532467532467,0.750315338486798,0.7467532467532467,0.7482472254045858,0.6818181818181818,0.8636363636363636,0.8051948051948052,0.8636363636363636,0.8636363636363636,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3,pablopalacios23/Diabetes,3,Yes,Yes,-1.0,0.42857456751388584,0.7727272727272727,0.7641711229946523,0.7727272727272727,0.7608901515151516,0.7597402597402597,0.7542891890717976,0.7597402597402597,0.7487456279654329,0.7272727272727273,0.7122994652406416,0.7272727272727273,0.7130681818181818,0.7467532467532467,0.750315338486798,0.7467532467532467,0.7482472254045858,0.6818181818181818,0.8636363636363636,0.8051948051948052,0.8636363636363636,0.8636363636363636,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3,pablopalacios23/Diabetes,3,Yes,No,0.5224620209264003,0.4739823128472205,0.7727272727272727,0.7641711229946523,0.7727272727272727,0.7608901515151516,0.7597402597402597,0.7542891890717976,0.7597402597402597,0.7487456279654329,0.7272727272727273,0.7122994652406416,0.7272727272727273,0.7130681818181818,0.7467532467532467,0.750315338486798,0.7467532467532467,0.7482472254045858,0.6818181818181818,0.8636363636363636,0.8051948051948052,0.8636363636363636,0.8636363636363636,0.5471698113207547,0.9272727272727272,0.5636363636363636,0.5272727272727272,0.9636363636363636,0.4188034188034188,0.4083333333333333,0.975,0.4083333333333333,0.975
3,pablopalacios23/Diabetes,3,Yes,No,0.6592581409403572,0.3422993201137393,0.7727272727272727,0.7641711229946523,0.7727272727272727,0.7608901515151516,0.7597402597402597,0.7542891890717976,0.7597402597402597,0.7487456279654329,0.7272727272727273,0.7122994652406416,0.7272727272727273,0.7130681818181818,0.7467532467532467,0.750315338486798,0.7467532467532467,0.7482472254045858,0.6818181818181818,0.8636363636363636,0.8051948051948052,0.8636363636363636,0.8636363636363636,0.7727272727272727,0.4727272727272727,0.5909090909090909,0.4636363636363636,0.6,0.423728813559322,0.425,0.975,0.4166666666666667,0.9833333333333333
3,pablopalacios23/Diabetes,3,Yes,No,-1.0,0.12625808452687473,0.7727272727272727,0.7641711229946523,0.7727272727272727,0.7608901515151516,0.7597402597402597,0.7542891890717976,0.7597402597402597,0.7487456279654329,0.7272727272727273,0.7122994652406416,0.7272727272727273,0.7130681818181818,0.7467532467532467,0.750315338486798,0.7467532467532467,0.7482472254045858,0.6818181818181818,0.8636363636363636,0.8051948051948052,0.8636363636363636,0.8636363636363636,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3,pablopalacios23/Diabetes,3,Yes,No,-1.0,0.7108113316996033,0.7727272727272727,0.7641711229946523,0.7727272727272727,0.7608901515151516,0.7597402597402597,0.7542891890717976,0.7597402597402597,0.7487456279654329,0.7272727272727273,0.7122994652406416,0.7272727272727273,0.7130681818181818,0.7467532467532467,0.750315338486798,0.7467532467532467,0.7482472254045858,0.6818181818181818,0.8636363636363636,0.8051948051948052,0.8636363636363636,0.8636363636363636,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3,pablopalacios23/Diabetes,3,Yes,No,0.7037502747096236,0.7140652129748619,0.7727272727272727,0.7641711229946523,0.7727272727272727,0.7608901515151516,0.7597402597402597,0.7542891890717976,0.7597402597402597,0.7487456279654329,0.7272727272727273,0.7122994652406416,0.7272727272727273,0.7130681818181818,0.7467532467532467,0.750315338486798,0.7467532467532467,0.7482472254045858,0.6818181818181818,0.8636363636363636,0.8051948051948052,0.8636363636363636,0.8636363636363636,0.7538461538461538,0.44144144144144143,0.5855855855855856,0.44144144144144143,0.5855855855855856,0.4608695652173913,0.44166666666666665,0.9583333333333334,0.44166666666666665,0.9583333333333334
3,pablopalacios23/Diabetes,3,Yes,No,0.6271194424804477,0.4011202868663545,0.7727272727272727,0.7641711229946523,0.7727272727272727,0.7608901515151516,0.7597402597402597,0.7542891890717976,0.7597402597402597,0.7487456279654329,0.7272727272727273,0.7122994652406416,0.7272727272727273,0.7130681818181818,0.7467532467532467,0.750315338486798,0.7467532467532467,0.7482472254045858,0.6818181818181818,0.8636363636363636,0.8051948051948052,0.8636363636363636,0.8636363636363636,0.47572815533980584,0.7857142857142857,0.5714285714285714,0.4375,0.9196428571428571,0.40336134453781514,0.4083333333333333,0.9833333333333333,0.4,0.9916666666666667
