round,dataset,client_id,bbox_pred_class_global,bbox_pred_class_local,silhouette_global_LORE,silhouette_local_LORE,tree_fidelity_lore_global,tree_fidelity_lore_local,acc_localTree_localTest,acc_localTree_globalTest,acc_nn_local_localTest,acc_nn_global_localTest,acc_nn_local_globalTest,acc_nn_global_globalTest,has_factual_local,has_factual_global,cov_ruleLocal_on_localZ_LORE,cov_ruleLocal_on_globalZ_LORE,cov_ruleGlobal_on_localZ_LORE,cov_ruleGlobal_on_globalZ_LORE,jaccard_cov_globalZ_LORE,covInter_globalZ_LORE,covUnion_globalZ_LORE,jaccard_cov_localZ_LORE,covInter_localZ_LORE,covUnion_localZ_LORE,jaccard_cov_combinedZ_LORE,covInter_combinedZ_LORE,covUnion_combinedZ_LORE,jaccard_lore_struct,sim_aditiva_lore,delta_lime_testlocal,delta_lime_testglobal,delta_shap_testlocal,delta_shap_testglobal,jaccard_anchor_struct_testlocal,jaccard_anchor_struct_testglobal,sim_aditiva_anchor_testlocal,sim_aditiva_anchor_testglobal,anchor_prec_testlocal_local,anchor_prec_testlocal_global,anchor_prec_testglobal_local,anchor_prec_testglobal_global,anchor_cov_testlocal_local,anchor_cov_testlocal_global,anchor_cov_testglobal_local,anchor_cov_testglobal_global,pred_agreement_localTest,pred_agreement_globalTest
3,pablopalacios23/breastcancer,8,B,B,0.595010111900223,0.7771859368049495,0.95,0.9666666666666667,0.7857142857142857,0.9298245614035088,0.8571428571428571,0.9285714285714286,0.956140350877193,0.956140350877193,0,1,nan,nan,0.4583333333333333,0.44166666666666665,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.019403876702255015,0.015943810056640712,0.01645249349882373,0.03318099054052434,0.06561417737229479,0.3065460264986731,0.3859525203116892,0.6151914223809446,1.0,1.0,0.8678507992895205,0.8969225064886911,0.7142857142857143,0.5,0.7456140350877193,0.7456140350877193,0.9285714285714286,0.9649122807017544
3,pablopalacios23/breastcancer,8,B,B,0.7448394017898596,0.7900906106266226,0.9583333333333334,0.9583333333333334,0.7857142857142857,0.9298245614035088,0.8571428571428571,0.9285714285714286,0.956140350877193,0.956140350877193,1,1,0.375,0.7,0.31666666666666665,0.30833333333333335,0.4235294117647059,0.3,0.7083333333333334,0.8043478260869565,0.30833333333333335,0.38333333333333336,0.5572519083969466,0.30416666666666664,0.5458333333333333,0.0,0.3486164554353642,0.02460088407904952,0.02245595360436783,0.0466345481716013,0.05768251826038493,1.0,0.08155698200589837,1.0,0.35909858537827644,1.0,1.0,0.918918918918919,0.9282945736434108,0.5,0.5,0.7456140350877193,0.7456140350877193,0.9285714285714286,0.9649122807017544
3,pablopalacios23/breastcancer,8,M,M,0.77395427693324,0.5958307836438238,1.0,0.9583333333333334,0.7857142857142857,0.9298245614035088,0.8571428571428571,0.9285714285714286,0.956140350877193,0.956140350877193,1,1,0.48333333333333334,0.9083333333333333,0.9083333333333333,1.0,0.9083333333333333,0.9083333333333333,1.0,0.5321100917431193,0.48333333333333334,0.9083333333333333,0.7292576419213974,0.6958333333333333,0.9541666666666667,0.8419971559488071,0.8419971559488071,0.01751089765360581,0.014911121641226046,0.03496464660266727,0.027047521531521457,0.37982291139501206,0.18142024028072923,0.7234538562578757,0.5715232118713107,1.0,1.0,0.9625730994152046,0.9647887323943662,0.2857142857142857,0.2857142857142857,0.2543859649122807,0.2543859649122807,0.9285714285714286,0.9649122807017544
3,pablopalacios23/breastcancer,8,B,M,0.7311988354676997,0.5293792203305481,0.9333333333333333,0.95,0.7857142857142857,0.9298245614035088,0.8571428571428571,0.9285714285714286,0.956140350877193,0.956140350877193,1,1,0.425,0.7416666666666667,0.30833333333333335,0.2833333333333333,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.9834834834834835,1.0,0.9658258746948739,1.0,0.2857142857142857,0.2857142857142857,0.2543859649122807,0.2543859649122807,0.9285714285714286,0.9649122807017544
3,pablopalacios23/breastcancer,8,B,B,0.7223930973070769,0.6359986149044871,0.975,0.9833333333333333,0.7857142857142857,0.9298245614035088,0.8571428571428571,0.9285714285714286,0.956140350877193,0.956140350877193,1,1,0.375,0.375,0.35833333333333334,0.35833333333333334,0.6923076923076923,0.3,0.43333333333333335,0.6923076923076923,0.3,0.43333333333333335,0.6923076923076923,0.3,0.43333333333333335,0.10101028429853422,0.4900848721679838,0.015287860763343621,0.015242663893504545,0.03288000289648601,0.033264378660841885,0.2757733655699004,0.7067137809187279,0.6504933708226422,0.7067137809187279,1.0,1.0,0.8787510137875101,1.0,0.5,0.2857142857142857,0.7456140350877193,0.5,0.9285714285714286,0.9649122807017544
3,pablopalacios23/breastcancer,8,B,B,0.6170973918456504,0.6779059556448866,0.9583333333333334,0.9583333333333334,0.7857142857142857,0.9298245614035088,0.8571428571428571,0.9285714285714286,0.956140350877193,0.956140350877193,1,1,0.425,0.425,0.425,0.425,1.0,0.425,0.425,1.0,0.425,0.425,1.0,0.425,0.425,0.9949066213921905,0.9974533106960951,0.019446208839994962,0.018576091994942614,0.042811408470646586,0.049308909690509085,0.6194586112200864,0.11338757185272696,0.8097293056100432,0.3388757110419539,1.0,1.0,1.0,0.8684478371501272,0.2857142857142857,0.5,0.5,0.5,0.9285714285714286,0.9649122807017544
3,pablopalacios23/breastcancer,8,B,B,0.6196846328054162,0.5796477341684848,0.8916666666666667,0.9083333333333333,0.7857142857142857,0.9298245614035088,0.8571428571428571,0.9285714285714286,0.956140350877193,0.956140350877193,1,0,0.4166666666666667,0.6666666666666666,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.016539517121193413,0.015400601493625071,0.020101453286318943,0.05209534563835231,1.0,0.13970899029424116,1.0,0.43634762998331933,1.0,1.0,0.8591261739485504,0.8884093711467325,0.5,0.5,0.5,0.7456140350877193,0.9285714285714286,0.9649122807017544
3,pablopalacios23/breastcancer,8,B,B,0.37424697411033314,0.5016804829318896,0.95,0.9,0.7857142857142857,0.9298245614035088,0.8571428571428571,0.9285714285714286,0.956140350877193,0.956140350877193,1,1,0.36666666666666664,0.36666666666666664,0.35,0.35,0.6862745098039216,0.2916666666666667,0.425,0.6862745098039216,0.2916666666666667,0.425,0.6862745098039216,0.2916666666666667,0.425,0.12153992284095061,0.5735004080810788,0.01918025726627388,0.01742723102144172,0.015749132937091754,0.04870093133507859,0.07299304712987034,0.031133952589037776,0.4350583460243178,0.2563425746441618,1.0,1.0,1.0,1.0,0.5,0.2857142857142857,0.5,0.2543859649122807,0.9285714285714286,0.9649122807017544
3,pablopalacios23/breastcancer,8,B,B,0.848658013377842,0.8337437717729592,0.975,0.9416666666666667,0.7857142857142857,0.9298245614035088,0.8571428571428571,0.9285714285714286,0.956140350877193,0.956140350877193,1,1,0.3333333333333333,0.36666666666666664,0.3333333333333333,0.3333333333333333,0.75,0.3,0.4,0.8181818181818182,0.3,0.36666666666666664,0.782608695652174,0.3,0.38333333333333336,0.009000560819881594,0.31718549193488466,0.01832874848830627,0.019492771019829196,0.056128149424362825,0.034172956096986444,0.13344435550649264,0.06040666639625813,0.4039315577398523,0.39340315086797734,0.9035414725069898,0.9859154929577465,1.0,0.9926470588235294,0.7142857142857143,0.7142857142857143,0.5,0.5,0.9285714285714286,0.9649122807017544
3,pablopalacios23/breastcancer,8,M,M,0.6997654898014529,0.5486922214486506,1.0,1.0,0.7857142857142857,0.9298245614035088,0.8571428571428571,0.9285714285714286,0.956140350877193,0.956140350877193,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7430398340867034,0.8682788500650247,0.016508401977461572,0.014399616691532585,0.052137762204461306,0.045044939320435184,0.21973577574659295,0.11030127798786024,0.5687629383589129,0.38480857761905546,1.0,1.0,1.0,0.969811320754717,0.5,0.2857142857142857,0.2543859649122807,0.2543859649122807,0.9285714285714286,0.9649122807017544
