round,dataset,client_id,bbox_pred_class_global,bbox_pred_class_local,silhouette_global_LORE,silhouette_local_LORE,tree_fidelity_lore_global,tree_fidelity_lore_local,acc_localTree_localTest,acc_localTree_globalTest,acc_nn_local_localTest,acc_nn_global_localTest,acc_nn_local_globalTest,acc_nn_global_globalTest,has_factual_local,has_factual_global,model_disagreement,ratio_opposite_neighborhood_local,ratio_opposite_neighborhood_global,cov_ruleLocal_on_localZ_LORE,cov_ruleLocal_on_globalZ_LORE,cov_ruleGlobal_on_localZ_LORE,cov_ruleGlobal_on_globalZ_LORE,jaccard_cov_globalZ_LORE,covInter_globalZ_LORE,covUnion_globalZ_LORE,jaccard_cov_localZ_LORE,covInter_localZ_LORE,covUnion_localZ_LORE,jaccard_lore_struct,sim_aditiva_lore,delta_lime_testlocal,delta_lime_testglobal,delta_shap_testlocal,delta_shap_testglobal,jaccard_anchor_struct_testlocal,jaccard_anchor_struct_testglobal,sim_aditiva_anchor_testlocal,sim_aditiva_anchor_testglobal,anchor_prec_testlocal_local,anchor_prec_testlocal_global,anchor_prec_testglobal_local,anchor_prec_testglobal_global,anchor_cov_testlocal_local,anchor_cov_testlocal_global,anchor_cov_testglobal_local,anchor_cov_testglobal_global,pred_agreement_localTest,pred_agreement_globalTest
3,pablopalacios23/adult_1500_instances,4,<=50K,<=50K,0.7435818505853949,0.8113430582644474,0.9583333333333334,0.975,0.675,0.7133333333333334,0.8,0.775,0.77,0.7666666666666667,1,1,0,0.5166666666666667,0.5666666666666667,0.4666666666666667,0.4666666666666667,0.4666666666666667,0.4666666666666667,1.0,0.4666666666666667,0.4666666666666667,1.0,0.4666666666666667,0.4666666666666667,1.0,1.0,0.014283379849658336,0.015569701058190909,0.02594171607010305,0.02134079687353781,0.42207792207792205,nan,0.711038961038961,1.0,0.8580323785803238,0.8702702702702703,0.8754208754208754,0.9236912156166814,0.5,0.2125,0.36666666666666664,0.36666666666666664,0.875,0.8833333333333333
3,pablopalacios23/adult_1500_instances,4,<=50K,<=50K,0.7507077061856502,0.6187176612535342,0.95,0.9666666666666667,0.675,0.7133333333333334,0.8,0.775,0.77,0.7666666666666667,1,1,0,0.44166666666666665,0.5583333333333333,0.48333333333333334,0.975,0.425,0.44166666666666665,0.452991452991453,0.44166666666666665,0.975,0.8793103448275862,0.425,0.48333333333333334,0.43367035986135016,0.6634508926274632,0.014079840973132472,0.014669430667344614,0.017595758165062713,0.02351736916045403,1.0,0.4155844155844156,1.0,0.7077922077922079,1.0,0.8548123980424144,0.9144385026737968,0.8898830006882312,0.275,0.275,0.26,0.26,0.875,0.8833333333333333
3,pablopalacios23/adult_1500_instances,4,>50K,>50K,0.3027539406718201,0.3279511680654677,0.95,0.9083333333333333,0.675,0.7133333333333334,0.8,0.775,0.77,0.7666666666666667,1,1,0,0.6,0.525,1.0,1.0,0.9666666666666667,0.475,0.475,0.475,1.0,0.9666666666666667,0.9666666666666667,1.0,0.6950877192982456,0.6950877192982455,0.0153874093244447,0.016166553152402275,0.02357627780487945,0.025934208455899672,nan,0.7894736842105263,1.0,0.8947368421052632,0.8977932636469221,1.0,0.9420289855072463,0.8512741312741313,0.575,0.575,0.6333333333333333,0.74,0.875,0.8833333333333333
3,pablopalacios23/adult_1500_instances,4,>50K,>50K,0.7993620353301549,0.9075742159139804,0.95,0.9416666666666667,0.675,0.7133333333333334,0.8,0.775,0.77,0.7666666666666667,1,1,0,0.6,0.525,0.0,0.0,0.425,0.4,0.0,0.0,0.4,0.0,0.0,0.425,0.0,0.38006493506493505,0.014985843679362872,0.014675324126808218,0.016132472230660614,0.018032663887751745,1.0,0.28309409888357256,1.0,0.5386762360446571,0.8626155878467635,0.8948106591865358,0.9280701754385965,0.9201680672268907,0.2625,0.25,0.21,0.5,0.875,0.8833333333333333
3,pablopalacios23/adult_1500_instances,4,<=50K,<=50K,0.8139210821940219,0.7666557063404243,0.9833333333333333,0.9583333333333334,0.675,0.7133333333333334,0.8,0.775,0.77,0.7666666666666667,1,1,0,0.4666666666666667,0.4666666666666667,0.5,0.9583333333333334,0.49166666666666664,0.5,0.5217391304347826,0.5,0.9583333333333334,0.9833333333333333,0.49166666666666664,0.5,0.7079698424368234,0.8524660150787816,0.014231877675788623,0.015434006602564474,0.025038203687643715,0.029164245179663754,0.2807017543859649,nan,0.7602339181286549,1.0,0.9327521793275217,0.9858299595141701,0.9416243654822335,1.0,0.2125,0.275,0.36666666666666664,0.36666666666666664,0.875,0.8833333333333333
3,pablopalacios23/adult_1500_instances,4,>50K,<=50K,0.5085568579329771,0.6995970194454146,0.9416666666666667,0.9583333333333334,0.675,0.7133333333333334,0.8,0.775,0.77,0.7666666666666667,1,1,1,0.5083333333333333,0.575,0.0,0.0,0.9416666666666667,0.9166666666666666,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.8991228070175439,0.9516491754122939,0.8717454194792671,0.9341472438031817,0.5125,0.7625,0.5,0.6333333333333333,0.875,0.8833333333333333
3,pablopalacios23/adult_1500_instances,4,>50K,<=50K,0.7765519826369508,0.6802951115105129,0.95,0.9166666666666666,0.675,0.7133333333333334,0.8,0.775,0.77,0.7666666666666667,1,1,1,0.5083333333333333,0.6166666666666667,0.0,0.0,0.8916666666666667,0.525,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.9171270718232044,0.8849673202614379,0.8725296442687747,0.9392151833803539,0.5,0.575,0.7633333333333333,0.6333333333333333,0.875,0.8833333333333333
3,pablopalacios23/adult_1500_instances,4,>50K,>50K,0.6822059588856683,0.26604520927020897,0.975,0.9083333333333333,0.675,0.7133333333333334,0.8,0.775,0.77,0.7666666666666667,1,1,0,0.5583333333333333,0.55,0.0,0.0,0.95,0.48333333333333334,0.0,0.0,0.48333333333333334,0.0,0.0,0.95,0.7574786967418545,0.8710537707906129,0.01594742732513117,0.01587325004275121,0.01896590176604738,0.024927173781250894,0.7192982456140351,nan,0.7192982456140351,1.0,0.8973487423521413,0.9799878714372346,0.9452411994784876,0.9396149949341439,0.575,0.725,0.07,0.6333333333333333,0.875,0.8833333333333333
3,pablopalacios23/adult_1500_instances,4,<=50K,<=50K,0.7763143548781074,0.11976134081025497,0.9416666666666667,0.9666666666666667,0.675,0.7133333333333334,0.8,0.775,0.77,0.7666666666666667,1,1,0,0.5,0.5333333333333333,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.3191228070175438,0.3191228070175438,0.015377176289178087,0.015608765523933312,0.03181217366823288,0.016882653009826002,nan,1.0,1.0,1.0,0.8801652892561983,1.0,0.9071134626690183,0.8836633663366337,0.9375,0.2125,0.5,0.5,0.875,0.8833333333333333
3,pablopalacios23/adult_1500_instances,4,>50K,>50K,0.5308102786977091,0.09561176092565798,0.95,0.95,0.675,0.7133333333333334,0.8,0.775,0.77,0.7666666666666667,1,1,0,0.55,0.5083333333333333,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.6508771929824562,0.6508771929824562,0.014361948628068834,0.015267801228987415,0.022724100586777946,0.03412705710950427,0.7430555555555556,nan,0.8715277777777778,1.0,0.9412296564195298,0.9825242718446602,0.9395810955961332,0.9594855305466238,0.25,0.4875,0.6333333333333333,0.6333333333333333,0.875,0.8833333333333333
3,pablopalacios23/adult_1500_instances,4,<=50K,<=50K,0.7137651683674485,0.7407192641619184,0.9333333333333333,0.9666666666666667,0.675,0.7133333333333334,0.8,0.775,0.77,0.7666666666666667,1,1,0,0.4583333333333333,0.4666666666666667,0.48333333333333334,0.9,0.48333333333333334,0.475,0.4864864864864865,0.45,0.925,0.7846153846153846,0.425,0.5416666666666666,0.48923034802809384,0.7009728867623604,0.01565533756268941,0.014485005427464273,0.023682903572584905,0.012635657210401977,0.24488697524219585,nan,0.5968329915698337,1.0,1.0,0.8728971962616823,0.8784056508577195,1.0,0.5,0.5125,0.36666666666666664,0.36666666666666664,0.875,0.8833333333333333
3,pablopalacios23/adult_1500_instances,4,>50K,>50K,0.7231040347614145,0.746550238307542,0.9416666666666667,0.9583333333333334,0.675,0.7133333333333334,0.8,0.775,0.77,0.7666666666666667,1,1,0,0.55,0.5083333333333333,0.0,0.0,0.5916666666666667,0.5833333333333334,0.0,0.0,0.5833333333333334,0.0,0.0,0.5916666666666667,0.8739739657302286,0.935298747027236,0.014877692902002613,0.014959930355793665,0.012520648393630698,0.02292924792779065,0.475883415011607,0.5844155844155845,0.7679046100098731,0.7922077922077921,0.8985221674876848,0.9826254826254827,0.91672753834916,0.9638802889576883,0.5,0.725,0.38,0.6333333333333333,0.875,0.8833333333333333
3,pablopalacios23/adult_1500_instances,4,>50K,>50K,0.12343021772766687,0.47742670222723954,0.9833333333333333,0.9666666666666667,0.675,0.7133333333333334,0.8,0.775,0.77,0.7666666666666667,1,1,0,0.625,0.575,0.0,0.0,0.5333333333333333,0.45,0.0,0.0,0.45,0.0,0.0,0.5333333333333333,0.6342857142857143,0.6342857142857143,0.01510561754238782,0.01528559534815588,0.019860594268572195,0.02838984811976109,nan,nan,1.0,1.0,0.9227053140096618,0.935535858178888,0.8506737699780633,0.8527425020264793,0.1,0.575,0.2733333333333333,0.7866666666666666,0.875,0.8833333333333333
3,pablopalacios23/adult_1500_instances,4,>50K,>50K,-0.05071023632798948,0.08687253877576724,0.9583333333333334,0.9166666666666666,0.675,0.7133333333333334,0.8,0.775,0.77,0.7666666666666667,1,1,0,0.6166666666666667,0.5416666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,1.0,0.015200185430364733,0.015498949682295798,0.03038381569549859,0.03041905851840901,nan,0.7894736842105263,1.0,0.8947368421052632,0.8974358974358975,0.9409190371991247,0.8631899762952929,0.8566108007448789,0.575,0.575,0.74,0.6333333333333333,0.875,0.8833333333333333
