round,dataset,client_id,bbox_pred_class_global,bbox_pred_class_local,silhouette_global,silhouette_local,tree_fidelity_lore_global,tree_fidelity_lore_local,acc_localTree_localTest,acc_localTree_globalTest,acc_nn_local_localTest,acc_nn_global_localTest,acc_nn_local_globalTest,acc_nn_global_globalTest,jaccard_cov_globalZ,covL_globalZ,covG_globalZ,covInter_globalZ,covUnion_globalZ,jaccard_cov_localZ,covL_localZ,covG_localZ,covInter_localZ,covUnion_localZ,shap_feature_agreement,cross_explainer_global,cross_explainer_local,pred_agreement_localTest,pred_agreement_globalTest
3,pablopalacios23/Diabetes,7,No,No,0.30083768276960454,0.3921785357734709,0.975,0.95,0.6,0.6363636363636364,0.84,0.6,0.6818181818181818,0.6753246753246753,0.8405797101449275,0.48333333333333334,0.575,0.48333333333333334,0.575,0.5,0.49166666666666664,0.9833333333333333,0.49166666666666664,0.9833333333333333,0.5,0.5,0.5,0.76,0.7857142857142857
3,pablopalacios23/Diabetes,7,No,Yes,0.20306454882683977,-0.25552454987221485,0.9666666666666667,0.95,0.6,0.6363636363636364,0.84,0.6,0.6818181818181818,0.6753246753246753,0.38392857142857145,0.8083333333333333,0.48333333333333334,0.35833333333333334,0.9333333333333333,0.6507936507936508,0.39166666666666666,0.475,0.3416666666666667,0.525,0.5,0.5,0.5,0.76,0.7857142857142857
3,pablopalacios23/Diabetes,7,No,No,0.4795375584099789,0.45094559034559745,0.9916666666666667,0.975,0.6,0.6363636363636364,0.84,0.6,0.6818181818181818,0.6753246753246753,0.7384615384615385,0.4,0.5416666666666666,0.4,0.5416666666666666,0.40336134453781514,0.4,0.9916666666666667,0.4,0.9916666666666667,0.5,0.5,0.5,0.76,0.7857142857142857
3,pablopalacios23/Diabetes,7,No,No,0.6134017024232614,0.6432905635790133,1.0,0.9166666666666666,0.6,0.6363636363636364,0.84,0.6,0.6818181818181818,0.6753246753246753,0.8545454545454545,0.8,0.9,0.7833333333333333,0.9166666666666666,0.4666666666666667,0.4666666666666667,1.0,0.4666666666666667,1.0,0.5,1.0,0.2,0.76,0.7857142857142857
3,pablopalacios23/Diabetes,7,No,No,-0.422464793572817,-0.024615116745832288,0.9916666666666667,0.9666666666666667,0.6,0.6363636363636364,0.84,0.6,0.6818181818181818,0.6753246753246753,0.7333333333333333,0.36666666666666664,0.5,0.36666666666666664,0.5,0.7704918032786885,0.39166666666666666,0.5083333333333333,0.39166666666666666,0.5083333333333333,1.0,1.0,1.0,0.76,0.7857142857142857
3,pablopalacios23/Diabetes,7,No,No,0.3165394025206223,0.5915881278221169,0.9583333333333334,0.9916666666666667,0.6,0.6363636363636364,0.84,0.6,0.6818181818181818,0.6753246753246753,0.7384615384615385,0.4,0.5416666666666666,0.4,0.5416666666666666,0.4444444444444444,0.4,0.9,0.4,0.9,0.5,0.5,0.5,0.76,0.7857142857142857
3,pablopalacios23/Diabetes,7,No,No,0.3572197255959392,0.433351395484769,0.975,0.9416666666666667,0.6,0.6363636363636364,0.84,0.6,0.6818181818181818,0.6753246753246753,0.49523809523809526,0.8083333333333333,0.5,0.43333333333333335,0.875,0.48148148148148145,0.44166666666666665,0.8916666666666667,0.43333333333333335,0.9,1.0,0.5,0.5,0.76,0.7857142857142857
3,pablopalacios23/Diabetes,7,No,No,0.49758465304874866,0.20411863397239458,0.95,0.9666666666666667,0.6,0.6363636363636364,0.84,0.6,0.6818181818181818,0.6753246753246753,0.5210084033613446,0.9583333333333334,0.55,0.5166666666666667,0.9916666666666667,0.5740740740740741,0.5166666666666667,0.9,0.5166666666666667,0.9,0.5,0.5,0.5,0.76,0.7857142857142857
3,pablopalacios23/Diabetes,7,No,Yes,-0.29243725354698014,0.5093808279644563,0.9666666666666667,0.95,0.6,0.6363636363636364,0.84,0.6,0.6818181818181818,0.6753246753246753,0.3763440860215054,0.6416666666666667,0.425,0.2916666666666667,0.775,0.36082474226804123,0.30833333333333335,0.7916666666666666,0.2916666666666667,0.8083333333333333,0.5,0.2,0.2,0.76,0.7857142857142857
3,pablopalacios23/Diabetes,7,No,Yes,0.06898555371332248,0.5791639600516054,0.975,0.9666666666666667,0.6,0.6363636363636364,0.84,0.6,0.6818181818181818,0.6753246753246753,0.4722222222222222,0.8333333333333334,0.49166666666666664,0.425,0.9,0.4117647058823529,0.425,0.975,0.4083333333333333,0.9916666666666667,0.2,0.2,0.5,0.76,0.7857142857142857
