round,dataset,client_id,bbox_pred_class_global,bbox_pred_class_local,silhouette_global,silhouette_local,acc_superTree_localTest,prec_superTree_localTest,rec_superTree_localTest,f1_superTree_localTest,acc_superTree_globalTest,prec_superTree_globalTest,rec_superTree_globalTest,f1_superTree_globalTest,acc_localTree_localTest,prec_localTree_localTest,rec_localTree_localTest,f1_localTree_localTest,acc_localTree_globalTest,prec_localTree_globalTest,rec_localTree_globalTest,f1_localTree_globalTest,fcc_local,fcc_global,cmca_local_global
3,pablopalacios23/Diabetes,5,No,Yes,-1.0,0.8833569216750788,0.625,0.5801282051282051,0.625,0.59375,0.7467532467532467,0.7491267353336318,0.7467532467532467,0.7226829395504095,0.59375,0.5208333333333333,0.59375,0.5467687074829932,0.6818181818181818,0.6713928273561302,0.6818181818181818,0.6742061765985211,1.0,0.0,0.0
3,pablopalacios23/Diabetes,5,No,Yes,-1.0,0.9372837295920329,0.625,0.5801282051282051,0.625,0.59375,0.7467532467532467,0.7491267353336318,0.7467532467532467,0.7226829395504095,0.59375,0.5208333333333333,0.59375,0.5467687074829932,0.6818181818181818,0.6713928273561302,0.6818181818181818,0.6742061765985211,1.0,0.0,0.0
3,pablopalacios23/Diabetes,5,No,No,-1.0,-1.0,0.625,0.5801282051282051,0.625,0.59375,0.7467532467532467,0.7491267353336318,0.7467532467532467,0.7226829395504095,0.59375,0.5208333333333333,0.59375,0.5467687074829932,0.6818181818181818,0.6713928273561302,0.6818181818181818,0.6742061765985211,0.0,0.0,0.0
3,pablopalacios23/Diabetes,5,No,No,-1.0,-1.0,0.625,0.5801282051282051,0.625,0.59375,0.7467532467532467,0.7491267353336318,0.7467532467532467,0.7226829395504095,0.59375,0.5208333333333333,0.59375,0.5467687074829932,0.6818181818181818,0.6713928273561302,0.6818181818181818,0.6742061765985211,0.0,0.0,0.0
3,pablopalacios23/Diabetes,5,No,No,-1.0,0.9617248284019007,0.625,0.5801282051282051,0.625,0.59375,0.7467532467532467,0.7491267353336318,0.7467532467532467,0.7226829395504095,0.59375,0.5208333333333333,0.59375,0.5467687074829932,0.6818181818181818,0.6713928273561302,0.6818181818181818,0.6742061765985211,0.5,0.0,0.0
3,pablopalacios23/Diabetes,5,No,No,-1.0,0.9792222846056244,0.625,0.5801282051282051,0.625,0.59375,0.7467532467532467,0.7491267353336318,0.7467532467532467,0.7226829395504095,0.59375,0.5208333333333333,0.59375,0.5467687074829932,0.6818181818181818,0.6713928273561302,0.6818181818181818,0.6742061765985211,1.0,0.0,0.0
3,pablopalacios23/Diabetes,5,No,No,-1.0,-1.0,0.625,0.5801282051282051,0.625,0.59375,0.7467532467532467,0.7491267353336318,0.7467532467532467,0.7226829395504095,0.59375,0.5208333333333333,0.59375,0.5467687074829932,0.6818181818181818,0.6713928273561302,0.6818181818181818,0.6742061765985211,0.0,0.0,0.0
3,pablopalacios23/Diabetes,5,No,No,-1.0,-0.3003050214546143,0.625,0.5801282051282051,0.625,0.59375,0.7467532467532467,0.7491267353336318,0.7467532467532467,0.7226829395504095,0.59375,0.5208333333333333,0.59375,0.5467687074829932,0.6818181818181818,0.6713928273561302,0.6818181818181818,0.6742061765985211,1.0,0.0,0.0
3,pablopalacios23/Diabetes,5,No,No,-1.0,-1.0,0.625,0.5801282051282051,0.625,0.59375,0.7467532467532467,0.7491267353336318,0.7467532467532467,0.7226829395504095,0.59375,0.5208333333333333,0.59375,0.5467687074829932,0.6818181818181818,0.6713928273561302,0.6818181818181818,0.6742061765985211,0.0,0.0,0.0
3,pablopalacios23/Diabetes,5,No,No,-1.0,-1.0,0.625,0.5801282051282051,0.625,0.59375,0.7467532467532467,0.7491267353336318,0.7467532467532467,0.7226829395504095,0.59375,0.5208333333333333,0.59375,0.5467687074829932,0.6818181818181818,0.6713928273561302,0.6818181818181818,0.6742061765985211,0.0,0.0,0.0
