round,dataset,client_id,bbox_pred_class_global,bbox_pred_class_local,silhouette_global_LORE,silhouette_local_LORE,tree_fidelity_lore_global,tree_fidelity_lore_local,acc_localTree_localTest,acc_localTree_globalTest,acc_nn_local_localTest,acc_nn_global_localTest,acc_nn_local_globalTest,acc_nn_global_globalTest,has_factual_local,has_factual_global,cov_ruleLocal_on_localZ_LORE,cov_ruleLocal_on_globalZ_LORE,cov_ruleGlobal_on_localZ_LORE,cov_ruleGlobal_on_globalZ_LORE,jaccard_cov_globalZ_LORE,covInter_globalZ_LORE,covUnion_globalZ_LORE,jaccard_cov_localZ_LORE,covInter_localZ_LORE,covUnion_localZ_LORE,jaccard_cov_combinedZ_LORE,covInter_combinedZ_LORE,covUnion_combinedZ_LORE,delta_lime_testlocal,delta_lime_testglobal,delta_shap_testlocal,delta_shap_testglobal,anchor_prec_testlocal_local,anchor_prec_testlocal_global,anchor_prec_testglobal_local,anchor_prec_testglobal_global,anchor_cov_testlocal_local,anchor_cov_testlocal_global,anchor_cov_testglobal_local,anchor_cov_testglobal_global,pred_agreement_localTest,pred_agreement_globalTest
3,pablopalacios23/breastcancer,2,B,B,0.8962712729241269,0.918919535903748,0.9666666666666667,0.9583333333333334,0.9444444444444444,0.9122807017543859,1.0,1.0,0.956140350877193,0.956140350877193,1,1,0.375,0.4583333333333333,0.7916666666666666,0.36666666666666664,0.6779661016949152,0.3333333333333333,0.49166666666666664,0.4,0.3333333333333333,0.8333333333333334,0.5031446540880503,0.3333333333333333,0.6625,0.027297042210115533,0.03394958293186847,0.055412212856103774,0.04484757646358422,0.9121510673234812,0.9147344801795063,0.9698870765370138,0.977979274611399,0.7222222222222222,0.7222222222222222,0.2543859649122807,0.2543859649122807,1.0,0.9122807017543859
3,pablopalacios23/breastcancer,2,B,B,0.757306942650806,0.7494715398922994,0.95,0.9833333333333333,0.9444444444444444,0.9122807017543859,1.0,1.0,0.956140350877193,0.956140350877193,1,1,0.4,0.4,0.7416666666666667,0.39166666666666666,0.7272727272727273,0.3333333333333333,0.4583333333333333,0.4421052631578947,0.35,0.7916666666666666,0.5466666666666666,0.3416666666666667,0.625,0.01810593961829725,0.018080374292681903,0.025125006711904003,0.05731205210872602,1.0,0.9093090211132437,1.0,0.9248783454987834,0.5,0.7222222222222222,0.2543859649122807,0.7456140350877193,1.0,0.9122807017543859
3,pablopalacios23/breastcancer,2,B,B,0.726093746795328,0.8353679816381474,0.95,0.9583333333333334,0.9444444444444444,0.9122807017543859,1.0,1.0,0.956140350877193,0.956140350877193,1,1,0.4166666666666667,0.4166666666666667,0.7333333333333333,0.4,0.7818181818181819,0.35833333333333334,0.4583333333333333,0.5,0.38333333333333336,0.7666666666666667,0.6054421768707483,0.37083333333333335,0.6125,0.01589216724642826,0.017137284124050616,0.02708928557689703,0.04512148097817292,1.0,1.0,0.9206161137440758,1.0,0.5,0.5,0.7456140350877193,0.5,1.0,0.9122807017543859
3,pablopalacios23/breastcancer,2,B,B,0.756062801324705,0.716377826890426,0.95,0.925,0.9444444444444444,0.9122807017543859,1.0,1.0,0.956140350877193,0.956140350877193,1,1,0.375,0.375,0.39166666666666666,0.39166666666666666,0.9166666666666666,0.36666666666666664,0.4,0.9166666666666666,0.36666666666666664,0.4,0.9166666666666666,0.36666666666666664,0.4,0.017794773131400137,0.018647932196767678,0.048785102566940165,0.05332817152878862,1.0,1.0,1.0,0.9127429805615551,0.5,0.5,0.5,0.5,1.0,0.9122807017543859
3,pablopalacios23/breastcancer,2,M,M,0.40989663387696473,0.8699720628323317,0.95,1.0,0.9444444444444444,0.9122807017543859,1.0,1.0,0.956140350877193,0.956140350877193,1,1,1.0,1.0,0.9833333333333333,0.5166666666666667,0.5166666666666667,0.5166666666666667,1.0,0.9833333333333333,0.9833333333333333,1.0,0.75,0.75,1.0,0.018319333616028766,0.015307748981219277,0.04373788542326642,0.05090636458754679,1.0,1.0,0.9871900826446282,0.8904933814681107,0.5,0.2777777777777778,0.2543859649122807,0.7456140350877193,1.0,0.9122807017543859
3,pablopalacios23/breastcancer,2,M,M,0.6960444684110422,0.5920739343367623,0.9916666666666667,0.9916666666666667,0.9444444444444444,0.9122807017543859,1.0,1.0,0.956140350877193,0.956140350877193,1,1,0.8333333333333334,0.425,0.575,0.49166666666666664,0.864406779661017,0.425,0.49166666666666664,0.45689655172413796,0.44166666666666665,0.9666666666666667,0.5942857142857143,0.43333333333333335,0.7291666666666666,0.020273556109541655,0.02099099570062467,0.029106407193248845,0.04006134614330948,1.0,1.0,1.0,0.9688412852969815,0.2777777777777778,0.2777777777777778,0.2543859649122807,0.2543859649122807,1.0,0.9122807017543859
3,pablopalacios23/breastcancer,2,B,B,0.509254958352276,0.5223706357427087,0.9833333333333333,0.9583333333333334,0.9444444444444444,0.9122807017543859,1.0,1.0,0.956140350877193,0.956140350877193,1,1,0.39166666666666666,0.39166666666666666,0.4,0.38333333333333336,0.7547169811320755,0.3333333333333333,0.44166666666666665,0.7272727272727273,0.3333333333333333,0.4583333333333333,0.7407407407407407,0.3333333333333333,0.45,0.014304384717515014,0.015042985541745959,0.02651640563844533,0.04581802488706051,1.0,1.0,1.0,0.9167399589563178,0.5,0.5,0.5,0.5,1.0,0.9122807017543859
3,pablopalacios23/breastcancer,2,M,M,0.5601884434344037,0.5382422257438313,0.9333333333333333,0.975,0.9444444444444444,0.9122807017543859,1.0,1.0,0.956140350877193,0.956140350877193,1,1,0.5083333333333333,0.5083333333333333,0.9333333333333333,0.5333333333333333,0.7361111111111112,0.44166666666666665,0.6,0.49137931034482757,0.475,0.9666666666666667,0.5851063829787234,0.4583333333333333,0.7833333333333333,0.012479031644034888,0.017352287368080543,0.0505593018445871,0.05005148924364746,1.0,1.0,1.0,1.0,0.5,0.2777777777777778,0.2543859649122807,0.2543859649122807,1.0,0.9122807017543859
3,pablopalacios23/breastcancer,2,B,B,0.8118494945475266,0.8554091916324283,0.9583333333333334,0.9333333333333333,0.9444444444444444,0.9122807017543859,1.0,1.0,0.956140350877193,0.956140350877193,1,1,0.3333333333333333,0.31666666666666665,0.6416666666666667,0.35833333333333334,0.723404255319149,0.2833333333333333,0.39166666666666666,0.4444444444444444,0.3,0.675,0.546875,0.2916666666666667,0.5333333333333333,0.02212963836488157,0.02574235125251238,0.05062630208041307,0.046171054227440514,1.0,1.0,0.9795918367346939,1.0,0.5,0.5,0.5,0.7456140350877193,1.0,0.9122807017543859
3,pablopalacios23/breastcancer,2,M,M,0.6181874597253871,0.7090711707329264,0.9416666666666667,0.975,0.9444444444444444,0.9122807017543859,1.0,1.0,0.956140350877193,0.956140350877193,1,1,0.45,0.8,0.6833333333333333,0.4666666666666667,0.5353535353535354,0.44166666666666665,0.825,0.6,0.425,0.7083333333333334,0.5652173913043478,0.43333333333333335,0.7666666666666667,0.02054643626907247,0.020741177339519693,0.052119442398120386,0.04951597344474902,1.0,1.0,1.0,1.0,0.5,0.2777777777777778,0.2543859649122807,0.2543859649122807,1.0,0.9122807017543859
